Pattern,Metric_Success,Metric_Unsuccess,Diff,AbsDiff
DED,0.0041483206579091,0.00336240411894504,0.0007859165389640602,0.0007859165389640602
EBF,0.000691386776318183,0.00147105180203845,-0.0007796650257202671,0.0007796650257202671
BGB,0.000764164331720097,0.0,0.000764164331720097,0.000764164331720097
GCB,0.00112805210872966,0.000367762950509614,0.0007602891582200462,0.0007602891582200462
HBC,0.000291110221607656,0.00105075128717032,-0.0007596410655626639,0.0007596410655626639
EFD,0.000509442887813398,0.00126090154460439,-0.000751458656790992,0.000751458656790992
HDH,0.000254721443906699,0.00099821372281181,-0.0007434922789051109,0.0007434922789051109
CEC,0.00451220843491867,0.00525375643585163,-0.0007415480009329602,0.0007415480009329602
HCH,0.0,0.000735525901019228,-0.000735525901019228,0.000735525901019228
ECFC,0.00123829988709618,0.00052578999947421,0.0007125098876219699,0.0007125098876219699
CBCDCD,0.000693202962530555,0.0,0.000693202962530555,0.000693202962530555
CBCDE,0.000692596507855502,0.0,0.000692596507855502,0.000692596507855502
CFCB,0.00356921732163018,0.00289184499710815,0.0006773723245220298,0.0006773723245220298
BCFCD,0.00120293077680166,0.00052620500947169,0.00067672576732997,0.00067672576732997
BHC,0.000691386776318183,0.00136597667332142,-0.000674589897003237,0.000674589897003237
FBH,0.000327498999308613,0.00099821372281181,-0.000670714723503197,0.000670714723503197
CFCBC,0.00193197973243903,0.00126289202273205,0.0006690877097069799,0.0006690877097069799
CEB,0.00232888177286124,0.00299464116843543,-0.0006657593955741899,0.0006657593955741899
HCB,0.000545831665514355,0.00120836398024587,-0.000662532314731515,0.000662532314731515
DCBCB,0.00123938322458353,0.000578825510418859,0.0006605577141646711,0.0006605577141646711
DEBE,0.00123829988709618,0.000578368999421631,0.000659930887674549,0.000659930887674549
EDB,0.00218332666205742,0.00152358936639697,0.00065973729566045,0.00065973729566045
DCBCDC,0.000656718596081579,0.0,0.000656718596081579,0.000656718596081579
BCFCDC,0.000656718596081579,0.0,0.000656718596081579,0.000656718596081579
CDCBCD,0.000656718596081579,0.0,0.000656718596081579,0.000656718596081579
BCBCD,0.00131228812014726,0.000684066512313197,0.000628221607834063,0.000628221607834063
BCBD,0.00120187930218159,0.000578368999421631,0.000623510302759959,0.000623510302759959
CDCBCB,0.000620234229632602,0.0,0.000620234229632602,0.000620234229632602
CBCFCD,0.000620234229632602,0.0,0.000620234229632602,0.000620234229632602
CDECB,0.000619691612291765,0.0,0.000619691612291765,0.000619691612291765
CECF,0.000619149943548093,0.0,0.000619149943548093,0.000619149943548093
EDF,0.000327498999308613,0.000945676158453294,-0.0006181771591446811,0.0006181771591446811
DCE,0.00654997998617226,0.00593674477251234,0.0006132352136599198,0.0006132352136599198
FCE,0.00149193988573923,0.00210150257434065,-0.0006095626886014199,0.0006095626886014199
HCF,0.000181943888504785,0.000788063465377745,-0.00060611957687296,0.00060611957687296
FEC,0.000873330664822968,0.00147105180203845,-0.0005977211372154821,0.0005977211372154821
CBCBC,0.00222359931469398,0.00163123552936223,0.0005923637853317498,0.0005923637853317498
DEDB,0.000801252868121062,0.000210315999789684,0.0005909368683313781,0.0005909368683313781
CFDB,0.000801252868121062,0.000210315999789684,0.0005909368683313781,0.0005909368683313781
CDCDCDC,0.000584261457002008,0.0,0.000584261457002008,0.000584261457002008
GCF,0.000582220443215312,0.0,0.000582220443215312,0.000582220443215312
HCDH,0.0,0.000578368999421631,-0.000578368999421631,0.000578368999421631
EFB,0.000946108220224882,0.00152358936639697,-0.0005774811461720879,0.0005774811461720879
FEF,0.000691386776318183,0.00126090154460439,-0.000569514768286207,0.000569514768286207
ECDE,0.00145682339658374,0.000893842999106157,0.0005629803974775829,0.0005629803974775829
BCDBC,0.000874858746764845,0.000315723005683014,0.000559135741081831,0.000559135741081831
CECE,0.000546308773718905,0.00110415899889584,-0.000557850225176935,0.000557850225176935
BCDEC,0.000546786716728028,0.0,0.000546786716728028,0.000546786716728028
FCDCD,0.000546786716728028,0.0,0.000546786716728028,0.000546786716728028
CDFB,0.000546308773718905,0.0,0.000546308773718905,0.000546308773718905
FCG,0.000545831665514355,0.0,0.000545831665514355,0.000545831665514355
DCDCB,0.000911311194546713,0.000368343506630183,0.00054296768791653,0.00054296768791653
DBCB,0.00127472047201078,0.000736105999263894,0.0005386144727468861,0.0005386144727468861
FCH,0.000145555110803828,0.000682988336660712,-0.000537433225856884,0.000537433225856884
BFB,0.00156471744114115,0.00210150257434065,-0.0005367851331995,0.0005367851331995
CBEC,0.00105619696252321,0.00052578999947421,0.0005304069630489999,0.0005304069630489999
BFBF,0.0,0.00052578999947421,-0.00052578999947421,0.00052578999947421
HCE,0.0,0.000525375643585163,-0.000525375643585163,0.000525375643585163
DECD,0.00131114105692537,0.000788684999211315,0.000522456057714055,0.000522456057714055
FHC,0.000109166333102871,0.000630450772302196,-0.000521284439199325,0.000521284439199325
CBDB,0.00109261754743781,0.000578368999421631,0.0005142485480161791,0.0005142485480161791
CBCDCBC,0.000511228774876757,0.0,0.000511228774876757,0.000511228774876757
CBCEC,0.000510334268946159,0.0,0.000510334268946159,0.000510334268946159
FCDCE,0.000510334268946159,0.0,0.000510334268946159,0.000510334268946159
DEBED,0.000510334268946159,0.0,0.000510334268946159,0.000510334268946159
DEDC,0.000509888188804312,0.0,0.000509888188804312,0.000509888188804312
DECF,0.000509888188804312,0.0,0.000509888188804312,0.000509888188804312
DFBC,0.000509888188804312,0.0,0.000509888188804312,0.000509888188804312
BGC,0.000509442887813398,0.0,0.000509442887813398,0.000509442887813398
EBDE,0.000182102924572968,0.000683526999316473,-0.0005014240747435051,0.0005014240747435051
CBF,0.00254721443906699,0.00204896500998213,0.0004982494290848602,0.0004982494290848602
HEB,0.000291110221607656,0.000788063465377745,-0.000496953243770089,0.000496953243770089
FBF,0.000982496997925839,0.00147105180203845,-0.0004885548041126111,0.0004885548041126111
FCF,0.00240165932826316,0.00288956603971839,-0.00048790671145523,0.00048790671145523
