Pattern,Metric_Success,Metric_Unsuccess,Diff,AbsDiff
GGB,0.00067320422772255,0.0,0.00067320422772255,0.00067320422772255
DBC,0.00188497183762314,0.00121965385062144,0.0006653179870016999,0.0006653179870016999
BDC,0.00188497183762314,0.00121965385062144,0.0006653179870016999,0.0006653179870016999
DDCC,0.00339028716405846,0.00273089102582725,0.0006593961382312099,0.0006593961382312099
DCBC,0.000920541547856934,0.000261468289706865,0.000659073258150069,0.000659073258150069
CCCCCCC,0.000652169024220208,0.0,0.000652169024220208,0.000652169024220208
DDDDD,0.0111198472425025,0.0117712026972039,-0.0006513554547014008,0.0006513554547014008
DDEC,0.00105525494510429,0.000406728450655123,0.000648526494449167,0.000648526494449167
BBCDC,0.000763787487363809,0.00011625879207115,0.0006475286952926589,0.0006475286952926589
FBB,0.00327626057491641,0.00264258334301312,0.00063367723190329,0.00063367723190329
CCDDC,0.00112321689318207,0.000494099866302389,0.000629117026879681,0.000629117026879681
CHHHH,0.000359429405818263,0.000988199732604778,-0.000628770326786515,0.000628770326786515
CGG,0.00062832394587438,0.0,0.00062832394587438,0.00062832394587438
DED,0.00181765141485088,0.00119061447322569,0.00062703694162519,0.00062703694162519
DCCD,0.00163901299984283,0.0010168211266378,0.00062219187320503,0.00062219187320503
BFC,0.0013464084554451,0.000725984434893715,0.000620424020551385,0.000620424020551385
HHHE,0.000224522328745593,0.000842508933499898,-0.000617986604754305,0.000617986604754305
DDCE,0.00206560542445946,0.00145260160948258,0.00061300381497688,0.00061300381497688
CBCF,0.000987898246480612,0.000377676418465471,0.000610221828015141,0.000610221828015141
ECBB,0.00118996834235164,0.000581040643793033,0.0006089276985586071,0.0006089276985586071
CEEE,0.000291879027369271,0.000900612997879201,-0.00060873397050993,0.00060873397050993
ECD,0.00287233803828288,0.00226507143686839,0.0006072666014144898,0.0006072666014144898
DDBB,0.003974045218797,0.00337003573399959,0.0006040094847974105,0.0006040094847974105
CDCBB,0.000718858811636527,0.00011625879207115,0.000602600019565377,0.000602600019565377
ECCCC,0.000269572054363697,0.000871940940533627,-0.00060236888616993,0.00060236888616993
CFCD,0.00103280271222973,0.000435780482844775,0.000597022229384955,0.000597022229384955
BBBCB,0.000943502190272941,0.000348776376213451,0.00059472581405949,0.00059472581405949
BCDCC,0.000584072784454678,0.0,0.000584072784454678,0.000584072784454678
CDCCD,0.000584072784454678,0.0,0.000584072784454678,0.000584072784454678
CCFFF,0.0,0.000581293960355751,-0.000581293960355751,0.000581293960355751
FFFFC,0.0,0.000581293960355751,-0.000581293960355751,0.000581293960355751
BCFC,0.00148184736972091,0.000900612997879201,0.000581234371841709,0.000581234371841709
ECF,0.0011893274689765,0.000609826925310721,0.000579500543665779,0.000579500543665779
CCCE,0.000875637082107815,0.00145260160948258,-0.0005769645273747651,0.0005769645273747651
FCBC,0.000942993780731493,0.000377676418465471,0.0005653173622660219,0.0005653173622660219
HHHHHHC,0.000337328805631142,0.000901791947870607,-0.000564463142239465,0.000564463142239465
HHCC,0.00033678349311839,0.000900612997879201,-0.000563829504760811,0.000563829504760811
BBF,0.00244597536072526,0.00188755953072366,0.0005584158300016,0.0005584158300016
CHHHHH,0.000202288103211885,0.000756011747259457,-0.000553723644047572,0.000553723644047572
CCF,0.00424118663465206,0.00368800092926007,0.0005531857053919904,0.0005531857053919904
DCDD,0.00188598756146298,0.00133639348072397,0.0005495940807390101,0.0005495940807390101
BBBBDD,0.00112382279562158,0.00058154749789189,0.0005422752977296899,0.0005422752977296899
DBBBBB,0.00112382279562158,0.00058154749789189,0.0005422752977296899,0.0005422752977296899
BED,0.00112200704620425,0.000580787547914972,0.000541219498289278,0.000541219498289278
DDCB,0.0018186308628393,0.00127828941634467,0.0005403414464946299,0.0005403414464946299
FCDC,0.000538853588989425,0.0,0.000538853588989425,0.000538853588989425
DDHH,0.000538853588989425,0.00107492519101711,-0.0005360716020276849,0.0005360716020276849
CDH,0.00013464084554451,0.000667905680102218,-0.000533264834557708,0.000533264834557708
CEE,0.00289477817920696,0.00342664653269833,-0.0005318683534913703,0.0005318683534913703
BBBCD,0.00125800292036392,0.000726617450444689,0.0005313854699192311,0.0005313854699192311
CCFF,0.000785828150609578,0.00130734144853432,-0.000521513297924742,0.000521513297924742
CDDD,0.00424347201329172,0.00476453327910287,-0.0005210612658111497,0.0005210612658111497
CCCBB,0.00139278894754577,0.000871940940533627,0.000520848007012143,0.000520848007012143
DDCCB,0.000898573514545658,0.000377841074231238,0.00052073244031442,0.00052073244031442
EDD,0.00534075353993223,0.00482053664769427,0.0005202168922379602,0.0005202168922379602
FFD,0.00136884859636918,0.00188755953072366,-0.00051871093435448,0.00051871093435448
CFDD,0.000808280383484137,0.000290520321896516,0.000517760061587621,0.000517760061587621
CCCCB,0.00101089520386386,0.000494099866302389,0.000516795337561471,0.000516795337561471
CCDE,0.000516401356114865,0.0,0.000516401356114865,0.000516401356114865
DBDD,0.000471496890365746,0.000987769094448156,-0.00051627220408241,0.00051627220408241
CCBD,0.000920541547856934,0.000406728450655123,0.000513813097201811,0.000513813097201811
CBDC,0.000628662520487662,0.000116208128758606,0.000512454391729056,0.000512454391729056
CCH,0.00035904225478536,0.000871181321872459,-0.000512139067087099,0.000512139067087099
CHHHHHH,0.000134931522252456,0.000639981382359786,-0.00050504986010733,0.00050504986010733
CFCB,0.00134713397247356,0.000842508933499898,0.0005046250389736619,0.0005046250389736619
